,fips,CommNbr,Form Number,Gasident,GrossLoss,LeaseNumber,MasterYear,Net Loss,Recovered,Unique_ID,fips_state
108,48289,0.0,8315.0,532686.0,757.0,73344.0,24143.0,457.0,300.0,63307.0,576
109,48291,0.0,10052.0,679803.0,1149.0,255848.0,42265.0,711.0,438.0,126535.0,1008
110,48293,0.0,1531.0,858248.0,540.0,1516.0,12072.0,63.0,477.0,62605.0,288
111,48295,0.0,41205.0,6320634.0,3470.0,307051.0,140939.0,2012.0,1458.0,314685.0,3360
112,48297,3252.0,22526.0,2699687.0,2730.0,129198.0,58388.0,1589.0,1141.0,443676.0,1392
113,48301,30189.0,207434.0,20699320.0,55392.0,8321906.0,614491.0,9620.0,45772.0,3208006.0,14640
114,48303,0.0,7522.0,0.0,2343.0,970764.0,34243.0,927.0,1416.0,125718.0,816
115,48305,0.0,1373.0,0.0,592.0,343675.0,10065.0,584.0,8.0,0.0,240
116,48307,0.0,1025.0,0.0,111.0,6956.0,2016.0,4.0,107.0,0.0,48
117,48311,37153.0,74746.0,4386159.0,5524.0,899434.0,179240.0,3663.0,1861.0,1199142.0,4272
118,48313,0.0,15605.0,263214.0,3914.0,424419.0,46314.0,440.0,3474.0,314127.0,1104
119,48315,0.0,805.0,245646.0,183.0,14189.0,4024.0,165.0,18.0,0.0,96
120,48317,12110.0,408534.0,0.0,37310.0,21598684.0,1278964.0,11753.0,25557.0,5176845.0,30480
121,48319,0.0,746.0,0.0,64.0,1480.0,8068.0,0.0,64.0,0.0,192
122,48321,675.0,7760.0,896997.0,471.0,114198.0,24167.0,203.0,268.0,315274.0,576
123,48323,0.0,5234.0,76701.0,365.0,61810.0,16106.0,95.0,270.0,188697.0,384
124,48325,0.0,2037.0,0.0,140.0,37563.0,6040.0,124.0,16.0,0.0,144
125,48327,0.0,4729.0,0.0,793.0,107946.0,14106.0,381.0,412.0,0.0,336
126,48329,31134.0,496491.0,1160177.0,53779.0,21711979.0,1613495.0,17258.0,36521.0,6747902.0,38448
127,48331,0.0,2052.0,0.0,178.0,50707.0,10074.0,176.0,2.0,125414.0,240
128,48335,0.0,34477.0,254289.0,7096.0,1130132.0,116791.0,2276.0,4820.0,501206.0,2784
129,48337,5629.0,17533.0,809935.0,1954.0,334960.0,40269.0,995.0,959.0,0.0,960
130,48339,0.0,8762.0,357438.0,2309.0,193320.0,36226.0,347.0,1962.0,187341.0,864
131,48341,0.0,10964.0,0.0,779.0,95178.0,38265.0,445.0,334.0,189457.0,912
132,48345,0.0,556.0,0.0,106.0,69364.0,2014.0,4.0,102.0,62831.0,48
133,48347,12565.0,13864.0,6961370.0,2538.0,75769.0,78465.0,1339.0,1199.0,0.0,1872
134,48349,2485.0,10964.0,0.0,2837.0,52459.0,40277.0,875.0,1962.0,252411.0,960
135,48351,0.0,1958.0,226846.0,122.0,49392.0,6029.0,85.0,37.0,0.0,144
136,48353,0.0,17347.0,0.0,12032.0,600921.0,68443.0,8845.0,3187.0,187616.0,1632
137,48355,7343.0,12947.0,1150944.0,9052.0,122055.0,62417.0,4404.0,4648.0,125885.0,1488
138,48357,0.0,47651.0,3883575.0,4268.0,349218.0,163196.0,2139.0,2129.0,631613.0,3888
139,48359,0.0,885.0,0.0,158.0,12198.0,4025.0,36.0,122.0,0.0,96
140,48361,0.0,1917.0,316967.0,366.0,30224.0,10066.0,33.0,333.0,63524.0,240
141,48363,11154.0,17863.0,2021455.0,3195.0,316838.0,68426.0,1928.0,1267.0,253508.0,1632
142,48365,0.0,40673.0,9388866.0,5240.0,127452.0,167105.0,3290.0,1950.0,502038.0,3984
143,48367,0.0,11459.0,3480929.0,1855.0,54653.0,42277.0,556.0,1299.0,62507.0,1008
144,48371,11976.0,60514.0,6363697.0,6819.0,1822985.0,209334.0,2867.0,3952.0,442234.0,4992
145,48373,0.0,9012.0,219261.0,431.0,113451.0,26155.0,180.0,251.0,0.0,624
146,48375,1208.0,5468.0,0.0,844.0,55215.0,26192.0,664.0,180.0,0.0,624
147,48383,38893.0,374395.0,1966029.0,38550.0,9525979.0,1374074.0,17722.0,20828.0,5232633.0,32736
148,48389,4378.0,261575.0,8143053.0,36009.0,14069115.0,800181.0,16623.0,19386.0,3219821.0,19056
149,48391,314.0,13859.0,2590.0,1061.0,41873.0,42313.0,122.0,939.0,126371.0,1008
150,48393,385.0,26002.0,4528099.0,3225.0,139793.0,86588.0,2685.0,540.0,379167.0,2064
151,48395,0.0,2226.0,468928.0,298.0,27046.0,10059.0,7.0,291.0,0.0,240
152,48399,0.0,12398.0,0.0,1284.0,150341.0,40244.0,831.0,453.0,251089.0,960
153,48401,5260.0,41579.0,11662152.0,6354.0,150257.0,152979.0,2867.0,3487.0,377515.0,3648
154,48403,0.0,424.0,0.0,180.0,13197.0,2009.0,180.0,0.0,0.0,48
155,48405,0.0,1838.0,512426.0,107.0,0.0,4027.0,3.0,104.0,62838.0,96
156,48407,1961.0,1052.0,294350.0,257.0,40141.0,10060.0,93.0,164.0,0.0,240
157,48409,7206.0,19123.0,829513.0,29324.0,176302.0,60383.0,825.0,28499.0,126005.0,1440
158,48413,8612.0,9315.0,533693.0,1048.0,177692.0,32221.0,776.0,272.0,250816.0,768
159,48415,3113.0,43408.0,152480.0,10193.0,1328732.0,175153.0,4421.0,5772.0,689860.0,4176
160,48417,0.0,6596.0,413734.0,1246.0,171405.0,30200.0,670.0,576.0,0.0,720
161,48419,13469.0,4524.0,2026619.0,651.0,35836.0,24175.0,370.0,281.0,375716.0,576
162,48421,0.0,751.0,0.0,5.0,6279.0,2016.0,0.0,5.0,0.0,48
163,48423,5756.0,13782.0,389075.0,2057.0,217878.0,60404.0,1782.0,275.0,188002.0,1440
164,48427,11864.0,13108.0,3380369.0,5969.0,78890.0,66398.0,5457.0,512.0,375716.0,1584
165,48429,0.0,26660.0,658071.0,16163.0,933504.0,148940.0,3361.0,12802.0,501427.0,3552
166,48431,0.0,15479.0,234794.0,1278.0,678794.0,52345.0,763.0,515.0,251206.0,1248
167,48433,0.0,10242.0,1793427.0,2967.0,330766.0,52338.0,798.0,2169.0,0.0,1248
168,48435,614.0,8223.0,2182599.0,872.0,17071.0,40260.0,146.0,726.0,62524.0,960
169,48439,0.0,270.0,0.0,25.0,0.0,2009.0,25.0,0.0,0.0,48
170,48441,0.0,4657.0,0.0,914.0,200890.0,32231.0,335.0,579.0,0.0,768
171,48443,0.0,3227.0,2136231.0,873.0,16076.0,24156.0,741.0,132.0,62311.0,576
172,48445,0.0,29624.0,148220.0,6419.0,1804947.0,94622.0,1094.0,5325.0,441686.0,2256
173,48447,0.0,15338.0,214662.0,2305.0,376326.0,42278.0,1615.0,690.0,316365.0,1008
174,48449,349.0,6511.0,233836.0,876.0,41646.0,22137.0,176.0,700.0,125955.0,528
175,48451,1693.0,12634.0,0.0,1947.0,190602.0,40254.0,1596.0,351.0,189609.0,960
176,48457,0.0,2307.0,199176.0,62.0,26778.0,8053.0,2.0,60.0,0.0,192
177,48459,0.0,6808.0,2135662.0,2038.0,57083.0,34225.0,1996.0,42.0,0.0,816
178,48461,47916.0,335206.0,990935.0,40203.0,8784791.0,1274861.0,18067.0,22136.0,4719324.0,30384
179,48467,0.0,789.0,101209.0,173.0,3592.0,6041.0,145.0,28.0,62602.0,144
180,48469,0.0,5057.0,206000.0,1566.0,47517.0,18134.0,370.0,1196.0,126244.0,432
181,48471,0.0,1084.0,271807.0,106.0,0.0,4025.0,100.0,6.0,0.0,96
182,48473,0.0,2557.0,0.0,216.0,74646.0,6040.0,4.0,212.0,0.0,144
183,48475,25763.0,246939.0,3644353.0,25857.0,13425271.0,825674.0,6280.0,19577.0,4217543.0,19680
184,48477,0.0,1042.0,167543.0,255.0,39256.0,6038.0,95.0,160.0,124872.0,144
185,48479,94797.0,62194.0,10887162.0,12925.0,225509.0,231645.0,8701.0,4224.0,1513420.0,5520
186,48481,0.0,14177.0,1351724.0,4230.0,196572.0,62404.0,864.0,3366.0,313023.0,1488
187,48483,1217.0,87443.0,25671586.0,9500.0,206536.0,289960.0,6000.0,3500.0,1069879.0,6912
188,48485,0.0,38928.0,1020967.0,2776.0,623194.0,120880.0,1672.0,1104.0,444193.0,2880
189,48487,0.0,4540.0,0.0,1331.0,153170.0,16115.0,1284.0,47.0,63099.0,384
190,48489,0.0,7147.0,1298262.0,788.0,70944.0,28200.0,772.0,16.0,0.0,672
191,48493,0.0,17923.0,0.0,2080.0,324608.0,46333.0,856.0,1224.0,252899.0,1104
192,48495,14532.0,97230.0,1532104.0,12173.0,2711519.0,336228.0,4228.0,7945.0,1445055.0,8016
193,48497,5398.0,45123.0,12703999.0,4500.0,79466.0,165031.0,3053.0,1447.0,377146.0,3936
194,48499,0.0,25923.0,614870.0,2530.0,264508.0,88570.0,986.0,1544.0,503823.0,2112
195,48501,3564.0,150083.0,687917.0,10949.0,7034404.0,384506.0,3222.0,7727.0,1642287.0,9168
196,48503,0.0,13894.0,0.0,2093.0,340306.0,38259.0,1935.0,158.0,126173.0,912
197,48505,0.0,12833.0,2929044.0,1630.0,25331.0,40260.0,1466.0,164.0,126000.0,960
198,48507,0.0,21340.0,0.0,2184.0,458983.0,64452.0,1050.0,1134.0,190336.0,1536
