fips_state,fips_county,County
48,0,Bandera city
48,0,Bangs city
48,0,Bardwell city
48,0,Barry city
48,0,Barstow city
48,0,Bartlett city
48,0,Bartonville town
48,0,Bastrop city
48,0,Bay City city
48,0,Bayou Vista city
48,0,Bayside town
48,0,Baytown city
48,0,Bayview town
48,0,Beach City city
48,0,Bear Creek village
48,0,Beasley city
48,0,Beaumont city
48,0,Beckville city
48,0,Bedford city
48,0,Bedias city
48,0,Bee Cave city
48,0,Beeville city
48,0,Bellaire city
48,0,Bellevue city
48,0,Bellmead city
48,0,Bells town
48,0,Bellville city
48,0,Belton city
48,0,Benavides city
48,0,Benbrook city
48,0,Benjamin city
48,0,Berryville town
48,0,Bertram city
48,0,Beverly Hills city
48,0,Bevil Oaks city
48,0,Big Lake city
48,0,Big Sandy town
48,0,Big Spring city
48,0,Big Wells city
48,0,Bishop city
48,0,Bishop Hills town
48,0,Blackwell city
48,0,Blanco city
48,0,Blanket town
48,0,Bloomburg town
48,0,Blooming Grove town
48,0,Blossom city
48,0,Blue Mound city
48,0,Blue Ridge city
48,0,Blum town
48,0,Boerne city
48,0,Bogata city
48,0,Bonham city
48,0,Bonney village
48,0,Booker town
48,0,Borger city
48,0,Bovina city
48,0,Bowie city
48,0,Boyd town
48,0,Brackettville city
48,0,Brady city
48,0,Brazoria city
48,0,Brazos Bend city
48,0,Brazos Country city
48,0,Breckenridge city
48,0,Bremond city
48,0,Brenham city
48,0,Briarcliff village
48,0,Briaroaks city
48,0,Bridge City city
48,0,Bridgeport city
48,0,Broaddus town
48,0,Bronte town
48,0,Brookshire city
48,0,Brookside Village city
48,0,Browndell city
48,0,Brownfield city
48,0,Brownsboro city
48,0,Brownsville city
48,0,Brownwood city
48,0,Bruceville-Eddy city
48,0,Bryan city
48,0,Bryson city
48,0,Buckholts town
48,0,Buda city
48,0,Buffalo city
48,0,Buffalo Gap town
48,0,Buffalo Springs village
48,0,Bullard town
48,0,Bulverde city
48,0,Bunker Hill Village city
48,0,Burkburnett city
48,0,Burke city
48,0,Burleson city
48,0,Burnet city
48,0,Burton city
48,0,Byers city
48,0,Bynum town
48,0,Cactus city
48,0,Caddo Mills city
48,0,Caldwell city
48,0,Callisburg city
48,0,Calvert city
48,0,Cameron city
48,0,Campbell city
48,0,Camp Wood city
48,0,Canadian city
48,0,Caney City town
48,0,Canton city
48,0,Canyon city
48,0,Carbon town
48,0,Carl's Corner town
48,0,Carmine city
48,0,Carrizo Springs city
48,0,Carrollton city
48,0,Carthage city
48,0,Cashion Community city
48,0,Castle Hills city
48,0,Castroville city
48,0,Cedar Hill city
48,0,Cedar Park city
48,0,Celeste city
48,0,Celina city
48,0,Center city
48,0,Centerville city
48,0,Chandler city
48,0,Channing city
48,0,Charlotte city
48,0,Chester town
48,0,Chico city
48,0,Childress city
48,0,Chillicothe city
48,0,China city
48,0,China Grove town
48,0,Chireno city
48,0,Christine town
48,0,Cibolo city
48,0,Cisco city
48,0,Clarendon city
48,0,Clarksville city
48,0,Clarksville City city
48,0,Claude city
48,0,Clear Lake Shores city
48,0,Cleburne city
48,0,Cleveland city
48,0,Clifton city
48,0,Clint town
48,0,Clute city
48,0,Clyde city
48,0,Coahoma town
48,0,Cockrell Hill city
48,0,Coffee City town
48,0,Coldspring city
48,0,Coleman city
48,0,College Station city
48,0,Colleyville city
48,0,Collinsville town
48,0,Colmesneil city
48,0,Colorado City city
48,0,Columbus city
48,0,Comanche city
48,0,Combes town
48,0,Combine city
48,0,Commerce city
48,0,Como town
48,0,Conroe city
48,0,Converse city
48,0,Cool city
48,0,Coolidge town
48,0,Cooper city
48,0,Coppell city
48,0,Copperas Cove city
48,0,Copper Canyon town
48,0,Corinth city
48,0,Corpus Christi city
48,0,Corral City town
48,0,Corrigan town
48,0,Corsicana city
48,0,Cottonwood city
48,0,Cottonwood Shores city
48,0,Cotulla city
48,0,Coupland city
48,0,Cove city
48,0,Covington city
48,0,Coyote Flats city
48,0,Crandall city
48,0,Crane city
48,0,Cranfills Gap city
48,0,Crawford town
48,0,Creedmoor city
48,0,Cresson city
48,0,Crockett city
48,0,Crosbyton city
48,0,Cross Plains town
48,0,Cross Roads town
48,0,Cross Timber town
48,0,Crowell city
48,0,Crowley city
48,0,Crystal City city
48,0,Cuero city
48,0,Cumby city
48,0,Cuney town
48,0,Cushing city
48,0,Cut and Shoot city
48,0,Daingerfield city
48,0,Daisetta city
48,0,Dalhart city
48,0,Dallas city
48,0,Dalworthington Gardens city
48,0,Danbury city
48,0,Darrouzett town
48,0,Dawson town
48,0,Dayton city
48,0,Dayton Lakes city
48,0,Dean city
48,0,Decatur city
48,0,DeCordova city
48,0,Deer Park city
48,0,De Kalb city
48,0,De Leon city
48,0,Dell City city
48,0,Del Rio city
48,0,Denison city
48,0,Denton city
48,0,Denver City town
48,0,Deport city
48,0,DeSoto city
48,0,Detroit town
48,0,Devers city
48,0,Devine city
48,0,Diboll city
48,0,Dickens city
48,0,Dickinson city
48,0,Dilley city
48,0,Dimmitt city
48,0,DISH town
48,0,Dodd City town
48,0,Dodson town
48,0,Domino town
48,0,Donna city
48,0,Dorchester city
48,0,Double Oak town
48,0,Douglassville town
48,0,Dripping Springs city
48,0,Driscoll city
48,0,Dublin city
48,0,Dumas city
48,0,Duncanville city
48,0,Eagle Lake city
48,0,Eagle Pass city
48,0,Early city
48,0,Earth city
48,0,East Bernard city
48,0,Eastland city
48,0,East Mountain city
48,0,Easton city
48,0,East Tawakoni city
48,0,Ector city
48,0,Edcouch city
48,0,Eden city
48,0,Edgecliff Village town
48,0,Edgewood town
48,0,Edinburg city
48,0,Edmonson town
48,0,Edna city
48,0,Edom city
48,0,El Campo city
48,0,El Cenizo city
48,0,Eldorado city
48,0,Electra city
48,0,Elgin city
48,0,Elkhart town
48,0,El Lago city
48,0,Elmendorf city
48,0,El Paso city
48,0,Elsa city
48,0,Emhouse town
48,0,Emory city
48,0,Enchanted Oaks town
48,0,Encinal city
48,0,Ennis city
48,0,Escobares city
48,0,Estelline town
48,0,Euless city
48,0,Eureka city
48,0,Eustace city
48,0,Evant town
48,0,Everman city
48,0,Fairchilds village
48,0,Fairfield city
48,0,Fair Oaks Ranch city
48,0,Fairview town
48,0,Falfurrias city
48,0,Falls City city
48,0,Farmers Branch city
48,0,Farmersville city
48,0,Farwell city
48,0,Fate city
48,0,Fayetteville city
48,0,Ferris city
48,0,Flatonia town
48,0,Florence city
48,0,Floresville city
48,0,Flower Mound town
48,0,Floydada city
48,0,Follett city
48,0,Forest Hill city
48,0,Forney city
48,0,Forsan city
48,0,Fort Stockton city
48,0,Fort Worth city
48,0,Franklin city
48,0,Frankston town
48,0,Fredericksburg city
48,0,Freeport city
48,0,Freer city
48,0,Friendswood city
48,0,Friona city
48,0,Frisco city
48,0,Fritch city
48,0,Frost city
48,0,Fruitvale city
48,0,Fulshear city
48,0,Fulton town
48,0,Gainesville city
48,0,Galena Park city
48,0,Gallatin city
48,0,Galveston city
48,0,Ganado city
48,0,Garden Ridge city
48,0,Garland city
48,0,Garrett town
48,0,Garrison city
48,0,Gary City town
48,0,Gatesville city
48,0,Georgetown city
48,0,George West city
48,0,Gholson city
48,0,Giddings city
48,0,Gilmer city
48,0,Gladewater city
48,0,Glenn Heights city
48,0,Glen Rose city
48,0,Godley city
48,0,Goldsmith city
48,0,Goldthwaite city
48,0,Goliad city
48,0,Golinda city
48,0,Gonzales city
48,0,Goodlow city
48,0,Goodrich city
48,0,Gordon city
48,0,Goree city
48,0,Gorman city
48,0,Graford city
48,0,Graham city
48,0,Granbury city
48,0,Grandfalls town
48,0,Grand Prairie city
48,0,Grand Saline city
48,0,Grandview city
48,0,Granger city
48,0,Granite Shoals city
48,0,Granjeno city
48,0,Grapeland city
48,0,Grapevine city
48,0,Grays Prairie village
48,0,Greenville city
48,0,Gregory city
48,0,Grey Forest city
48,0,Groesbeck city
48,0,Groom town
48,0,Groves city
48,0,Groveton city
48,0,Gruver city
48,0,Gun Barrel City city
48,0,Gunter city
48,0,Gustine town
48,0,Hackberry town
48,0,Hale Center city
48,0,Hallettsville city
48,0,Hallsburg city
48,0,Hallsville city
48,0,Haltom City city
48,0,Hamilton city
48,0,Hamlin city
48,0,Happy town
48,0,Hardin city
48,0,Harker Heights city
48,0,Harlingen city
48,0,Hart city
48,0,Haskell city
48,0,Haslet city
48,0,Hawk Cove city
48,0,Hawkins city
48,0,Hawley city
48,0,Hays city
48,0,Hearne city
48,0,Heath city
48,0,Hebron town
48,0,Hedley city
48,0,Hedwig Village city
48,0,Helotes city
48,0,Hemphill city
48,0,Hempstead city
48,0,Henderson city
48,0,Henrietta city
48,0,Hereford city
48,0,Hewitt city
48,0,Hickory Creek town
48,0,Hico city
48,0,Hidalgo city
48,0,Hideaway city
48,0,Higgins city
48,0,Highland Haven city
48,0,Highland Park town
48,0,Highland Village city
48,0,Hill Country Village city
48,0,Hillcrest village
48,0,Hillsboro city
48,0,Hilshire Village city
48,0,Hitchcock city
48,0,Holiday Lakes town
48,0,Holland town
48,0,Holliday city
48,0,Hollywood Park town
48,0,Hondo city
48,0,Honey Grove city
48,0,Hooks city
48,0,Horizon City city
48,0,Horseshoe Bay city
48,0,Houston city
48,0,Howardwick city
48,0,Howe town
48,0,Hubbard city
48,0,Hudson city
48,0,Hudson Oaks city
48,0,Hughes Springs city
48,0,Humble city
48,0,Hunters Creek Village city
48,0,Huntington city
48,0,Huntsville city
48,0,Hurst city
48,0,Hutchins city
48,0,Hutto city
48,0,Huxley city
48,0,Idalou city
48,0,Impact town
48,0,Indian Lake town
48,0,Industry city
48,0,Ingleside city
48,0,Ingleside on the Bay city
48,0,Ingram city
48,0,Iola city
48,0,Iowa Colony village
48,0,Iowa Park city
48,0,Iraan city
48,0,Iredell city
48,0,Irving city
48,0,Italy town
48,0,Itasca city
48,0,Ivanhoe city
48,0,Jacinto City city
48,0,Jacksboro city
48,0,Jacksonville city
48,0,Jamaica Beach city
48,0,Jarrell city
48,0,Jasper city
48,0,Jayton city
48,0,Jefferson city
48,0,Jersey Village city
48,0,Jewett city
48,0,Joaquin city
48,0,Johnson City city
48,0,Jolly city
48,0,Jones Creek village
48,0,Jonestown city
48,0,Josephine city
48,0,Joshua city
48,0,Jourdanton city
48,0,Junction city
48,0,Justin city
48,0,Karnes City city
48,0,Katy city
48,0,Kaufman city
48,0,Keene city
48,0,Keller city
48,0,Kemah city
48,0,Kemp city
48,0,Kempner city
48,0,Kendleton city
48,0,Kenedy city
48,0,Kenefick town
48,0,Kennard city
48,0,Kennedale city
48,0,Kerens city
48,0,Kermit city
48,0,Kerrville city
48,0,Kilgore city
48,0,Killeen city
48,0,Kingsville city
48,0,Kirby city
48,0,Kirbyville city
48,0,Kirvin town
48,0,Knollwood city
48,0,Knox City town
48,0,Kosse town
48,0,Kountze city
48,0,Kress city
48,0,Krugerville city
48,0,Krum city
48,0,Kurten town
48,0,Kyle city
48,0,LaCoste city
48,0,Lacy-Lakeview city
48,0,Ladonia town
48,0,La Feria city
48,0,Lago Vista city
48,0,La Grange city
48,0,La Grulla city
48,0,Laguna Vista town
48,0,La Joya city
48,0,Lake Bridgeport city
48,0,Lake City town
48,0,Lake Dallas city
48,0,Lake Jackson city
48,0,Lakeport city
48,0,Lakeside town
48,0,Lakeside town
48,0,Lakeside City town
48,0,Lake Tanglewood village
48,0,Lakeview town
48,0,Lakeway city
48,0,Lakewood Village city
48,0,Lake Worth city
48,0,La Marque city
48,0,Lamesa city
48,0,Lampasas city
48,0,Lancaster city
48,0,La Porte city
48,0,Laredo city
48,0,Latexo city
48,0,La Vernia city
48,0,La Villa city
48,0,Lavon city
48,0,La Ward city
48,0,Lawn town
48,0,League City city
48,0,Leakey city
48,0,Leander city
48,0,Leary city
48,0,Lefors town
48,0,Leona city
48,0,Leonard city
48,0,Leon Valley city
48,0,Leroy city
48,0,Levelland city
48,0,Lewisville city
48,0,Lexington town
48,0,Liberty city
48,0,Liberty Hill city
48,0,Lincoln Park town
48,0,Lindale city
48,0,Linden city
48,0,Lindsay city
48,0,Lipan city
48,0,Little Elm city
48,0,Littlefield city
48,0,Little River-Academy city
48,0,Live Oak city
48,0,Liverpool city
48,0,Livingston town
48,0,Llano city
48,0,Lockhart city
48,0,Lockney town
48,0,Log Cabin city
48,0,Lometa city
48,0,Lone Oak city
48,0,Lone Star city
48,0,Longview city
48,0,Loraine town
48,0,Lorena city
48,0,Lorenzo city
48,0,Los Fresnos city
48,0,Los Indios town
48,0,Los Ybanez city
48,0,Lott city
48,0,Lovelady city
48,0,Lowry Crossing city
48,0,Lubbock city
48,0,Lucas city
48,0,Lueders city
48,0,Lufkin city
48,0,Luling city
48,0,Lumberton city
48,0,Lyford city
48,0,Lytle city
48,0,Mabank town
48,0,McAllen city
48,0,McCamey city
48,0,McGregor city
48,0,McKinney city
48,0,McLean town
48,0,McLendon-Chisholm city
48,0,Madisonville city
48,0,Magnolia city
48,0,Malakoff city
48,0,Malone town
48,0,Manor city
48,0,Mansfield city
48,0,Manvel city
48,0,Marble Falls city
48,0,Marfa city
48,0,Marietta town
48,0,Marion city
48,0,Marlin city
48,0,Marquez city
48,0,Marshall city
48,0,Mart city
48,0,Martindale city
48,0,Mason city
48,0,Matador town
48,0,Mathis city
48,0,Maud city
48,0,Maypearl city
48,0,Meadow town
48,0,Meadowlakes city
48,0,Meadows Place city
48,0,Megargel town
48,0,Melissa city
48,0,Melvin town
48,0,Memphis city
48,0,Menard city
48,0,Mercedes city
48,0,Meridian city
48,0,Merkel town
48,0,Mertens town
48,0,Mertzon city
48,0,Mesquite city
48,0,Mexia city
48,0,Miami city
48,0,Midland city
48,0,Midlothian city
48,0,Midway city
48,0,Milano city
48,0,Mildred town
48,0,Miles city
48,0,Milford town
48,0,Miller's Cove town
48,0,Millican town
48,0,Millsap town
48,0,Mineola city
48,0,Mineral Wells city
48,0,Mingus city
48,0,Mission city
48,0,Missouri City city
48,0,Mobeetie city
48,0,Mobile City city
48,0,Monahans city
48,0,Mont Belvieu city
48,0,Montgomery city
48,0,Moody city
48,0,Moore Station city
48,0,Moran city
48,0,Morgan city
48,0,Morgan's Point city
48,0,Morgan's Point Resort city
48,0,Morton city
48,0,Moulton town
48,0,Mountain City city
48,0,Mount Calm city
48,0,Mount Enterprise city
48,0,Mount Pleasant city
48,0,Mount Vernon town
48,0,Muenster city
48,0,Muleshoe city
48,0,Mullin town
48,0,Munday city
48,0,Murchison city
48,0,Murphy city
48,0,Mustang town
48,0,Mustang Ridge city
48,0,Nacogdoches city
48,0,Naples city
48,0,Nash city
48,0,Nassau Bay city
48,0,Natalia city
48,0,Navarro town
48,0,Navasota city
48,0,Nazareth city
48,0,Nederland city
48,0,Needville city
48,0,Nevada city
48,0,Newark city
48,0,New Berlin city
48,0,New Boston city
48,0,New Braunfels city
48,0,Newcastle city
48,0,New Chapel Hill city
48,0,New Deal town
48,0,New Fairview city
48,0,New Home city
48,0,New Hope town
48,0,New London city
48,0,New Summerfield city
48,0,Newton city
48,0,New Waverly city
48,0,Neylandville town
48,0,Niederwald city
48,0,Nixon city
48,0,Nocona city
48,0,Nolanville city
48,0,Nome city
48,0,Noonday city
48,0,Nordheim city
48,0,Normangee town
48,0,North Cleveland city
48,0,Northlake town
48,0,North Richland Hills city
48,0,Novice city
48,0,Oak Grove town
48,0,Oak Leaf city
48,0,Oak Point city
48,0,Oak Ridge town
48,0,Oak Ridge town
48,0,Oak Ridge North city
48,0,Oak Valley town
48,0,Oakwood town
48,0,O'Brien city
48,0,Odem city
48,0,Odessa city
48,0,O'Donnell city
48,0,Oglesby city
48,0,Old River-Winfree city
48,0,Olmos Park city
48,0,Olney city
48,0,Olton city
48,0,Omaha city
48,0,Onalaska city
48,0,Opdyke West town
48,0,Orange city
48,0,Orange Grove city
48,0,Orchard city
48,0,Ore City city
48,0,Overton city
48,0,Ovilla city
48,0,Oyster Creek city
48,0,Paducah town
48,0,Paint Rock town
48,0,Palacios city
48,0,Palestine city
48,0,Palisades village
48,0,Palmer town
48,0,Palmhurst city
48,0,Palm Valley city
48,0,Palmview city
48,0,Pampa city
48,0,Panhandle town
48,0,Panorama Village city
48,0,Pantego town
48,0,Paradise city
48,0,Paris city
48,0,Parker city
48,0,Pasadena city
48,0,Pattison city
48,0,Patton Village city
48,0,Payne Springs town
48,0,Pearland city
48,0,Pearsall city
48,0,Pecan Gap city
48,0,Pecan Hill city
48,0,Pecos city
48,0,Pelican Bay city
48,0,Penelope town
48,0,Penitas city
48,0,Perryton city
48,0,Petersburg city
48,0,Petrolia city
48,0,Petronila city
48,0,Pflugerville city
48,0,Pharr city
48,0,Pilot Point city
48,0,Pine Forest city
48,0,Pinehurst city
48,0,Pine Island town
48,0,Pineland city
48,0,Piney Point Village city
48,0,Pittsburg city
48,0,Plains town
48,0,Plainview city
48,0,Plano city
48,0,Pleak village
48,0,Pleasanton city
48,0,Pleasant Valley town
48,0,Plum Grove city
48,0,Point city
48,0,Point Blank city
48,0,Point Comfort city
48,0,Point Venture village
48,0,Ponder town
48,0,Port Aransas city
48,0,Port Arthur city
48,0,Port Isabel city
48,0,Portland city
48,0,Port Lavaca city
