MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2016,1039,8,COG OPERATING LLC,12/31/2016,Producer,CULBERSON,0,281445,0,Crude,8,7,1,Tank Battery,Equipment Failure,Other,None,,"SEC 2, BLK 58, SUR T & P RR CO","VAC TRUCK, RETURNED OIL TO STOCK TANKS, HAUL WATER TO DISPOSAL",CARPENTER E UNIT,"FORD, WEST (WOLFCAMP)"
2016,977,7C,COG OPERATING LLC,12/31/2016,Producer,UPTON,17158,0,0,Crude,80,75,5,Tank Battery,Equipment Failure,Other,None,,"SEC 25, BLK 41, T&P RR CO",CLEAN UP IN PROGRESS,"TXL ""JJ""",PEGASUS (CONSOLIDATED)
2016,1061,8,"CROWNQUEST OPERATING, LLC",12/30/2016,Producer,MARTIN,47613,0,0,Crude,30,30,0,Tank Battery,Equipment Failure,Other,None,,"SEC 36, BLK 38, T&P RR CO","VAC TRUCK, NO LOSS, NO REMEDIATION NECESSARY",BENT NAIL '36',SPRABERRY (TREND AREA)
2016,1030,8,ROSETTA RESOURCES OPERATING LP,12/30/2016,Producer,REEVES,46077,0,0,Crude,16,5,11,Tank Battery,Equipment Failure,Other,None,,"SEC 255, BLK 13, H & G. N. RR CO SUR, ABS 513","VAC TRUCK, SCRAPPED, GATHERED FOR ONSITE REMEDIATION",SAM PREWITT 255,WOLFBONE (TREND AREA)
2016,1038,8,CENTURION PIPELINE L.P.,12/29/2016,Transporter,MIDLAND,0,0,0,Crude,34,10,24,Tank Battery,Equipment Failure,Other,None,,"SEC 30, BLK 38, T4S, T&PRRCO",BLENDED WITH CLEAN SOIL,GLASSCOCK -N- FEE,NO FIELD NAME
2016,905,7C,COG OPERATING LLC,12/28/2016,Producer,UPTON,17154,0,0,Crude,20,18,2,Tank Battery,Equipment Failure,Other,None,,"SEC 36, BLK 41, T&P RR CO","CHANGED OUT VALVE, ADDED A BULL PLUG, CLEAN UP IN PROGRESS",PEGASUS FIELD UNIT 3,PEGASUS (CONSOLIDATED)
2016,974,10,"CHAPARRAL ENERGY, L.L.C.",12/28/2016,Producer,OCHILTREE,3740,0,0,Crude,7,7,0,Tank Battery,Equipment Failure,Other,None,,"SEC 78, BLK 11, W. AHRENDBECK SW","STANDING FLUID RECOVERED, OIL ABSORBENT, NATIVE SOIL TILLED",NORTH PERRYTON UNIT,"PERRYTON, NORTH (GEORGE MORROW)"
2016,1015,8A,"KEY ENERGY SERVICES, LLC",12/27/2016,Other,YOAKUM,0,0,0,Crude,5,4,1,Tank Battery,Equipment Failure,Other,None,,"426, D, JH GIBSON","VAC TRUCK, WILL BE CLEANED UP",WILBANKS 53,NO FIELD NAME
2016,978,7C,"DCP MIDSTREAM, LP",12/27/2016,Transporter,CROCKETT,0,0,0,Gas Well Liquid,13,0,13,Pipe Line,Corrosion - Rust,Other,None,,"SEC 26, BLK ST",CONSTRUCTION WILL BE REPLACING PIPE IN THE AREA,"TXL ""JJ""",NO FIELD NAME
2016,1034,8A,OCCIDENTAL PERMIAN LTD.,12/27/2016,Producer,HOCKLEY,3780,0,0,Combined,1,0,1,Tank Battery,Corrosion - Rust,Other,None,,"18 LABOR, 72 LEAGUE, VAL VERDE CSL","DUSTED, STEAMED ROADWAY, REMEDIATION",LEVELLAND UNIT,LEVELLAND
2016,990,7C,"PARSLEY ENERGY OPERATIONS, LLC",12/27/2016,Producer,UPTON,18550,0,0,Crude,20,3,17,Tank Battery,Corrosion - Rust,Other,None,,"SEC 25, BLK B, A-23, CCSD & RGNG RR CO","VAC TRUCK, REMEDIATE THE IMPACTED AREA, MIXING, TILLING",MORGAN,SPRABERRY (TREND AREA)
2016,1025,7C,"PENTERGY OPERATING, LLC",12/27/2016,Producer,MCCULLOCH,6956,0,0,Crude,111,107,4,Tank Battery,Equipment Failure,Other,None,,"SEC 140, H&TC RR CO",REPAIRED THE SEPARATOR,BISHOP - BIEMER,EXOC (980)
2016,1047,8,COG OPERATING LLC,12/27/2016,Producer,REEVES,48371,0,0,Crude,103,100,3,Tank Battery,Equipment Failure,Other,None,,"SEC 7, BLK C7, PSL/RANDALS, B, ABS 4879",VACUUM UP OIL REMEDIATION IN PROGRESS,SURE SHOT,WOLFBONE (TREND AREA)
2016,906,7C,"LAREDO PETROLEUM, INC.",12/26/2016,Producer,REAGAN,16791,0,0,Crude,25,5,20,Pipe Line,Corrosion - Rust,Other,None,,NEAR WELL #9-A,"SPREAD ABSORBENT PEAT MOSS, BACKHOE, BROUGHT SOIL TO SURFACE",SRH-A-,SPRABERRY (TREND AREA)
2016,924,7B,"TRINITY RIVER ENERGY OPER, LLC",12/26/2016,Producer,HOOD,0,236892,0,Gas Well Liquid,35,5,30,Tank Battery,Equipment Failure,Other,None,,"ROBINSON, T","REPLACED IMPERMEABLE BARRIER, MICROBIAL AMENDMENTS, DISPOSE OF",RUDD,NO FIELD NAME
2016,1080,8,DIAMONDBACK E&P LLC,12/25/2016,Producer,MARTIN,38980,0,0,Crude,40,30,10,Tank Battery,Equipment Failure,Other,None,,"LABOR 15, LEAGUE 256, BRISCOE COUNTY SCHOOL LANDS","VACCUUM TRUCKS CLEANED UP THE SPILL, REMEDIATION IN PROGRESS",MABEE BREEDLOVE,SPRABERRY (TREND AREA)
2016,1056,8,COG OPERATING LLC,12/24/2016,Producer,MIDLAND,39630,0,0,Crude,170,160,10,Flow Line,Equipment Failure,Other,None,,"SEC 14, BLK 40, C.F. O'NEAL SUR","REPLACED BAD SECTION OF POLY PIPE ON FLOWLINE, CLEANUP IN PROGRESS",PARKS FIELD UNIT 2,PARKS (CONSOLIDATED)
