MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2015,971,3,"CML EXPLORATION, LLC",9/3/2015,Producer,FORT BEND,7404,0,0,Crude,40,38,2,Tank Battery,Equipment Failure,Other,None,,MARK SMITH SURVEY A-314,VACUUMED OIL UP & TURNED SOIL,"MOORE, J. M. ET AL",MOORES ORCHARD (MIO. & FRIO)
2015,965,8,ENCANA OIL & GAS(USA) INC.,9/3/2015,Producer,MIDLAND,6652,0,0,Crude,10,9,1,Tank Battery,Equipment Failure,Other,None,,"31.912046, -102.134363","VACUUMED UP, SPILL REMEDIATION IN ON GOIN","POWELL, R. V. ETAL",SPRABERRY (TREND AREA)
2015,1298,2,"GULFTEX ENERGY III, LP",9/3/2015,Producer,KARNES,11067,0,0,Gas Well Liquid,12,11,1,Tank Battery,Equipment Failure,Other,None,,"WILLIAM HENRY AUSTIN SUR, ABS 21","DIRT REMOVED & REPLACED, SMOOTHED OVER, SUCCESSFUL CLEAN UP",MOCZYGEMBA UNIT,EAGLEVILLE (EAGLE FORD-2)
2015,1167,7C,ENCANA OIL & GAS(USA) INC.,9/2/2015,Producer,UPTON,19120,0,0,Crude,158,158,0,Tank Battery,Company Human Error,Other,None,,"31.62519, -102.07216",SECONDARY CONTAINMENT PRESSURE WASHED & TAKEN TO DISPOSAL,DAVIDSON 02A,SPRABERRY (TREND AREA)
2015,961,8,ENCANA OIL & GAS(USA) INC.,9/2/2015,Producer,HOWARD,42844,0,0,Crude,30,25,5,Tank Battery,Equipment Failure,Other,None,,"332.31165, -101.5389025",VAC TRUCK CALLED TO PICK UP STANDING FLUID,LONG 13,SPRABERRY (TREND AREA)
2015,1072,4,HARVEST PIPELINE COMPANY,9/1/2015,Transporter,SAN PATRICIO,0,0,0,Combined,15,13,2,Tank Battery,Equipment Failure,Other,None,,"28.059, 97.687","VAC TRUCK, CONTAMINATED SOIL EXCAVATED & HAULED OFF",LANGLEY 2-36,NO FIELD NAME
2015,910,7C,COG OPERATING LLC,9/1/2015,Producer,UPTON,17775,0,0,Crude,35,12,23,Tank Battery,Equipment Failure,Other,None,,"SEC 27, BLK 41, T&P RR CO ABS 499",REMEDIATION IN PROGRESS,"TXL T ""27""",SPRABERRY (TREND AREA)
2015,1290,1,"PIE OPERATING, LLC",9/1/2015,Producer,GONZALES,17435,0,0,Crude,10,8,2,Tank Battery,Act of God,Other,None,,ABS A-79,ALL CONTENTS WERE REMOVED AND CLEANED,"GOODE, ADDIE BELL",PEACH CREEK (AUSTIN CHALK)
2015,928,1,"1776 ENERGY OPERATORS, LLC",8/31/2015,Producer,LA SALLE,12585,0,0,Crude,15,10,5,Tank Battery,Equipment Failure,Other,None,,"SEC 14, BLK 2, SUR I & G.N.R.R.","REPLACED WATER DUMP, VAC TRUCK, SPREAD GATOR OIL, REMEDIATED SOIL ","SMITH, JOEY",PEARSALL (AUSTIN CHALK)
2015,964,8,"WILLIAMS, CLAYTON ENERGY, INC.",8/31/2015,Producer,ANDREWS,40950,0,0,Crude,30,28,2,Tank Battery,Equipment Failure,Other,None,,TANK BATTERY,"REMOVED FLUIDS, REMEDIATION, EXCAVATING SOILS","SAMSON UNIVERSITY ""6""",SPRABERRY (TREND AREA)
2015,1557,8A,ENTERPRISE PRODUCTS OPERATINGLLC,8/31/2015,Transporter,ECTOR,0,0,0,Combined,7,0,7,Tank Battery,Equipment Failure,Other,None,,"31.522468, -103.466068","SHUT DOWN, REMOVED, SENT TO DISPOSAL, REMEDIATION",GOLDSMITH ADOBE UNIT,NO FIELD NAME
2015,954,8A,ENTERPRISE PRODUCTS OPERATINGLLC,8/31/2015,Transporter,COCHRAN,0,0,0,Combined,7,0,7,Tank Battery,Equipment Failure,Other,None,,"31.522468, -103.466068","SHUT DOWN, LIQUIDS SENT TO DISPOSAL, SOIL REMOVED","WRIGHT, J.M. UNIT",NO FIELD NAME
